t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,0.0,1.0,0.0,0.0,0.0,0.0,0.031390100717544556,0.9995071887969971,0.031395260244607925,0.031390100717544556,-0.0004927907139062881,0.031395260244607925,-0.03139525976465669,-0.03139525976465669,0.0,0.0
0.04,2,9.418577974429354e-05,1.0,9.418577974429354e-05,0.004709288943558931,0.2354644536972046,0.31395259499549866,0.06262560933828354,0.9980370998382568,0.06266661733388901,0.06253141909837723,-0.001962905516847968,0.0625724345445633,-0.06355809333854842,-0.0949533531032051,0.0,0.0
0.06,3,0.0003757410158868879,0.9999999403953552,0.0003757410158868879,0.014077762141823769,0.46842366456985474,0.6257243156433105,0.09355364739894867,0.995614230632782,0.0936906561255455,0.0931779071688652,-0.004385689273476601,0.09331491589546204,-0.09723022539095576,-0.19218357849416084,0.0,0.0
0.08,4,0.0009359238902106881,0.9999995827674866,0.0009359240648336709,0.02800915017724037,0.6965694427490234,0.9331491589546204,0.12402476370334625,0.9922791123390198,0.12434494495391846,0.12308883666992188,-0.00772043876349926,0.12340901792049408,-0.13211669313648017,-0.324300271630641,0.0,0.0
0.1,5,0.0018631585408002138,0.9999982714653015,0.0018631595885381103,0.0463617742061615,0.9176312685012817,1.2340902090072632,0.15389446914196014,0.9880872964859009,0.15450850129127502,0.1520313173532486,-0.011910974979400635,0.15264533460140228,-0.16787512372845498,-0.492175395359096,0.0,0.0
0.12,6,0.0032421466894447803,0.9999947547912598,0.003242152277380228,0.0689496397972107,1.129393219947815,1.5264533758163452,0.18302473425865173,0.9831082820892334,0.18406227231025696,0.17978258430957794,-0.016886435449123383,0.18082012236118317,-0.2041207230497436,-0.6962961184088396,0.0,0.0
0.14,7,0.005153006874024868,0.9999867081642151,0.005153029691427946,0.09554386883974075,1.3297111988067627,1.8082011938095093,0.21128518879413605,0.9774244427680969,0.2128896415233612,0.2061321884393692,-0.022562265396118164,0.20773661136627197,-0.24043253329858594,-0.9367286517074256,0.0,0.0
0.16,8,0.0076472340151667595,0.9999707341194153,0.007647308520972729,0.1247139424085617,1.4585038423538208,2.0,0.2385542392730713,0.9711291790008545,0.24087683856487274,0.23090700805187225,-0.02884158492088318,0.23322953283786774,-0.27322952848018245,-1.209958180187608,0.0,0.0
0.18,9,0.010717005468904972,0.9999426007270813,0.010717211291193962,0.15349511802196503,1.4390586614608765,2.0,0.2647198438644409,0.9643253684043884,0.2679134011268616,0.2540028393268585,-0.03561720997095108,0.25719618797302246,-0.2971961865766829,-1.5071543667642908,0.0,0.0
0.2,10,0.014352777972817421,0.9998970031738281,0.014353270642459393,0.18180298805236816,1.415393590927124,2.0,0.2896801233291626,0.9571235179901123,0.29389262199401855,0.2753273546695709,-0.04277348145842552,0.2795393466949463,-0.31953935546596957,-1.8266937222302604,0.0,0.0
0.22,11,0.01854330115020275,0.999828040599823,0.018544362857937813,0.20955462753772736,1.3875818252563477,2.0,0.31334367394447327,0.9496397972106934,0.3187119960784912,0.29480037093162537,-0.05018826574087143,0.30016762018203735,-0.340167631696666,-2.1668613539269264,0.0,0.0
0.24,12,0.02327563799917698,0.9997290968894958,0.02327773906290531,0.23666881024837494,1.3557093143463135,2.0,0.3356296420097351,0.9419940114021301,0.3422735631465912,0.3123539984226227,-0.057735055685043335,0.31899580359458923,-0.35899581354145454,-2.5258571674683807,0.0,0.0
0.26,13,0.02853519096970558,0.9995927810668945,0.028539065271615982,0.26306629180908203,1.3198744058609009,2.0,0.3564675450325012,0.9343076944351196,0.3644843101501465,0.32793232798576355,-0.0652850791811943,0.3359452486038208,-0.3759452482753444,-2.901802415743725,0.0,0.0
0.28,14,0.03430573269724846,0.999411404132843,0.03431246802210808,0.28867003321647644,1.2801873683929443,2.0,0.37579697370529175,0.9267020225524902,0.3852566182613373,0.3414912223815918,-0.07270935922861099,0.3509441614151001,-0.3909441550032098,-3.292746570746935,0.0,0.0
0.3,15,0.04056943953037262,0.9991767406463623,0.04058057442307472,0.31340545415878296,1.2367703914642334,2.0,0.39356696605682373,0.9192959666252136,0.404508501291275,0.3529975414276123,-0.07988077402114868,0.3639279305934906,-0.40392792167888003,-3.6966744924258155,0.0,0.0
0.32,16,0.04730692505836487,0.9988803863525391,0.047324586659669876,0.3372006118297577,1.1897577047348022,2.0,0.40973538160324097,0.9122044444084167,0.4221639633178711,0.3624284565448761,-0.0866759791970253,0.3748393654823303,-0.41483937505792573,-4.111513867483741,0.0,0.0
0.34,17,0.05449730530381203,0.99851393699646,0.054524317383766174,0.35998648405075073,1.1392942667007446,2.0,0.42426797747612,0.9055367112159729,0.43815332651138306,0.36977067589759827,-0.09297723323106766,0.3836290240287781,-0.42362902243333117,-4.535142889917072,0.0,0.0
0.36,18,0.06211824342608452,0.9980688095092773,0.062158260494470596,0.38169723749160767,1.0855365991592407,2.0,0.43713751435279846,0.899394690990448,0.45241352915763855,0.37501928210258484,-0.09867411851882935,0.39025527238845825,-0.4302552641169943,-4.965398154034066,0.0,0.0
0.38,19,0.07014601677656174,0.9975367188453674,0.07020366936922073,0.40227025747299194,1.0286513566970825,2.0,0.44832292199134827,0.8938716650009155,0.46488824486732483,0.37817689776420593,-0.1036650612950325,0.3946845829486847,-0.43468457574988045,-5.400082729783946,0.0,0.0
0.4,20,0.07855557650327682,0.9969097375869751,0.07863660156726837,0.4216465651988983,0.9688155651092529,2.0,0.45780816674232483,0.8890510201454163,0.4755282700061798,0.3792525827884674,-0.10785873234272003,0.39689165353775024,-0.43689165964899196,-5.836974389432938,0.0,0.0
0.42,21,0.08732066303491592,0.9961802363395691,0.08743201941251755,0.4397708773612976,0.9062156081199646,2.0,0.4655815362930298,0.885004997253418,0.48429158329963684,0.37826085090637207,-0.11117525398731232,0.3968595564365387,-0.4368595645293726,-6.273833953962311,0.0,0.0
0.44,22,0.09641385078430176,0.9953413605690002,0.09656385332345963,0.45659181475639343,0.8410468101501465,2.0,0.4716346263885498,0.8817940354347229,0.4911436140537262,0.37522077560424805,-0.11354727298021317,0.39457976818084717,-0.4345797730733109,-6.708413727035621,0.0,0.0
0.46,23,0.10580667108297348,0.9943867325782776,0.10600509494543076,0.4720620810985565,0.7735128998756409,2.0,0.475961834192276,0.8794659376144409,0.4960573613643646,0.3701551556587219,-0.11492078006267548,0.39005225896835327,-0.4300522569558633,-7.138465983991485,0.0,0.0
0.48,24,0.11546971648931503,0.9933109879493713,0.11572786420583725,0.48613858222961426,0.703825056552887,2.0,0.4785594642162323,0.8780551552772522,0.49901336431503296,0.36308974027633667,-0.11525584757328033,0.3832854926586151,-0.4232854990748595,-7.561751483066344,0.0,0.0
