t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1,-2.9391524213889845e-18,1.0,-2.9391524213889845e-18,-1.4695762231022014e-16,-7.347881221390126e-15,-9.797174397164869e-15,0.01256471686065197,0.9999210834503174,0.012565047480165958,0.01256471686065197,-7.893917063483968e-05,0.012565047480165958,-0.012565047721668743,-0.012565047721668743,0.0,0.0
0.04,2,3.7695142964366823e-05,1.0,3.7695142964366823e-05,0.001884757075458765,0.09423785656690598,0.12565048038959503,0.025119516998529434,0.9996844530105591,0.025122158229351044,0.025081820785999298,-0.0003155441372655332,0.025084463879466057,-0.02524234436562311,-0.037807392087291856,0.0,0.0
0.06,3,0.00015050446381792426,1.0,0.00015050446381792426,0.00564046623185277,0.18778544664382935,0.2508446276187897,0.03765450045466423,0.9992908239364624,0.037663403898477554,0.03750399500131607,-0.0007091707666404545,0.037512898445129395,-0.03814212858634422,-0.07594952067363608,0.0,0.0
0.08,4,0.00037532494752667844,0.9999999403953552,0.00037532494752667844,0.011241024360060692,0.2800278961658478,0.37512898445129395,0.05015980079770088,0.9987412095069885,0.05018085613846779,0.049784474074840546,-0.0012587246019393206,0.04980553314089775,-0.05121275010325601,-0.1271622707768921,0.0,0.0
0.1,5,0.000748288759496063,0.9999997019767761,0.0007482888177037239,0.018648194149136543,0.37035849690437317,0.4980553090572357,0.06262560933828354,0.9980370998382568,0.06266661733388901,0.06187732145190239,-0.001962629845365882,0.06191832944750786,-0.06439891889618427,-0.19156118967307637,0.0,0.0
0.12,6,0.0013045254163444042,0.9999991655349731,0.0013045257655903697,0.027811845764517784,0.4581826329231262,0.6191833019256592,0.07504218071699142,0.9971803426742554,0.07511279731988907,0.07373765856027603,-0.0028187891002744436,0.07380826771259308,-0.07764214821665692,-0.2692033378897333,0.0,0.0
0.14,7,0.002077929675579071,0.9999978542327881,0.002077931072562933,0.038670267909765244,0.5429210662841797,0.7380827069282532,0.08739987760782242,0.9961733222007751,0.08751153200864792,0.08532194793224335,-0.003824531799182296,0.08543359488248825,-0.09088125934583784,-0.3600845972355711,0.0,0.0
0.16,8,0.0031009367667138577,0.9999951720237732,0.003100941888988018,0.05115053802728653,0.6240134835243225,0.8543360233306885,0.09968913346529007,0.9950186610221863,0.09985499083995819,0.09658819437026978,-0.004976560361683369,0.0967540517449379,-0.10405294858169208,-0.4641375458172632,0.0,0.0
0.18,9,0.004404307343065739,0.9999902844429016,0.004404321312904358,0.06516897678375244,0.7009220719337463,0.9675405025482178,0.11190052330493927,0.9937193989753723,0.1121353805065155,0.1074962168931961,-0.006270887330174446,0.10773105919361115,-0.11709240505325452,-0.5812299508705177,0.0,0.0
